bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,OTHER SERVICES,28210,28210,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,133000,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,21057181.26,5349444.7,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,TRAVEL,60631.73,10586.28,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,TRANSPORTATION OF THINGS,6154.81,2137.13,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,195736.4,83226.52,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,23986.89,8442.98,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,1451720.83,412312.61,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,444479.98,110271.75,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,689268.72,429513.04,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,RECEPTIONS,OTHER SERVICES,200,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,RECEPTIONS,SUPPLIES AND MATERIALS,983.75,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,FAMILY ROOM,SUPPLIES AND MATERIALS,7825.51,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1294779.73,383075.34,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,TRAVEL,7786.76,2921.5,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,8439.95,2883.54,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2015.6,1771.35,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,24250,6250,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,60322.85,42592.16,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF GENERAL COUNSEL,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,18666.47,9427.27,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,PERSONNEL,PERSONNEL COMPENSATION,10785135.35,2735391.45,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,158269.41,158269.41,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,81611.35,81611.35,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,RECEPTIONS,SUPPLIES AND MATERIALS,553.2,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,TRAVEL,526057.51,526057.51,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,OVERSEAS TRVL CAP POLICE REIMB,OTHER SERVICES,244398.93,244398.93,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF THE PARLIAMENTARIAN,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,1205874.93,305374.98,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF THE PARLIAMENTARIAN,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,27247.78,8616.67,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF THE PARLIAMENTARIAN,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,83.9,83.9,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF THE PARLIAMENTARIAN,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,9547.82,4822.37,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF THE PARLIAMENTARIAN,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,4704,1176,,,,,116,2019Q3,false
,FISCAL YEAR 2019 COMPILATION OF PRECEDENTS,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,513500.01,129500.01,,,,,116,2019Q3,false
,FISCAL YEAR 2019 TECHNICAL ASSISTANTS,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,578107.08,145276.77,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,TRAINING PERSONNEL & DEVELOP,TRAVEL,6080.4,3479.46,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,TRAINING PERSONNEL & DEVELOP,OTHER SERVICES,39755.78,19000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PERSONNEL COMPENSATION,387668.64,97258.74,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,TRAVEL,21.4,21.4,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,17745.67,5274.38,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,PRINTING AND REPRODUCTION,262.39,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,OTHER SERVICES,58763.5,17093,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,SUPPLIES AND MATERIALS,5122.47,1886.74,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,ADMIN AND OPS,EQUIPMENT,6027,1116,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,PERSONNEL COMPENSATION,2647961.77,672584.64,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,TRAVEL,1625.66,1580.42,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,RENT COMMUNICATION UTILITIES,40,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,PRINTING AND REPRODUCTION,1360,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,OTHER SERVICES,33147.84,33147.84,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,SUPPLIES AND MATERIALS,4531.84,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE OF INSPECTOR GENERAL,AUDIT ADVISORY INVESTIGATION,EQUIPMENT,21617.29,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LAW REVISION COUNSEL,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,5345.78,1414.33,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LAW REVISION COUNSEL,ADMIN AND OPS,OTHER SERVICES,30237.05,12000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LAW REVISION COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,73437.54,50082.8,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LAW REVISION COUNSEL,ADMIN AND OPS,EQUIPMENT,21856.79,10205.59,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LAW REVISION COUNSEL,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,2221118.43,557535.12,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,TRAVEL,1972.33,1972.33,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,38516.56,12266.17,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,PRINTING AND REPRODUCTION,269.55,209.65,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,OTHER SERVICES,384118.35,127104.37,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,SUPPLIES AND MATERIALS,105727.03,57162.66,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,ADMIN AND OPS,EQUIPMENT,151261.92,106863.65,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LEGISLATIVE COUNSEL,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,8890200.43,2262443.32,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,372619.93,161145.52,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,TRAVEL,17.24,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,8272.1,3714.53,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,785.9,336,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,2973.99,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,121225.49,51838.1,,,,,116,2019Q3,false
,FISCAL YEAR 2019 INTERPARLIAMENTARY AFFAIRS,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,5995.35,1399,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ENTERPRISE APPLICATIONS,ATLAS,OTHER SERVICES,53246.43,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ENTERPRISE APPLICATIONS,PD REPLACEMENT PROJECT,OTHER SERVICES,203744.9,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CYBERSECURITY,NETWORK SERVICES,SUPPLIES AND MATERIALS,15000,15000,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,RENT COMMUNICATION UTILITIES,93029.88,8600.5,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,3246259.58,1372581.88,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ACQUISITIONS,MAIL AND PACKAGE DELIVERY,EQUIPMENT,388624.55,90214.2,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ACQUISITIONS,DIGITAL MAIL,OTHER SERVICES,1524184.55,483143.3,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CUSTOMER EXPERIENCE CENTER IO,HOUSE-WIDE TRAINING PROGRAMS,TRAVEL,795.58,795.58,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CUSTOMER EXPERIENCE CENTER IO,HOUSE-WIDE TRAINING PROGRAMS,EQUIPMENT,188400,188400,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,LIMS,TRAVEL,936.39,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,LIMS,OTHER SERVICES,610437.63,144585.63,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,LIMS,EQUIPMENT,30685.36,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,OTHER SERVICES,432.12,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,SUPPLIES AND MATERIALS,1058.14,261.46,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,ELECTRONIC VOTING SYSTEM,EQUIPMENT,367187.49,100669.36,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,CANNON RENEWAL,RENT COMMUNICATION UTILITIES,3199.7,900,,,,,116,2019Q3,false
,FISCAL YEAR 2019 CLERK OF THE HOUSE,CANNON RENEWAL,OTHER SERVICES,566439.5,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,45387.35,21552.02,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,RENT COMMUNICATION UTILITIES,4.95,4.95,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,198873.73,61370.91,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,EQUIPMENT,11015.64,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT,EQUIPMENT,777991.26,258367.28,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,TRAVEL,67651.02,15195.31,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,RENT COMMUNICATION UTILITIES,178565.43,81790.72,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,PRINTING AND REPRODUCTION,5120.21,912.27,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,OTHER SERVICES,647333.87,377435.84,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,SUPPLIES AND MATERIALS,116629.3,16428.26,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,NON - PERSONNEL,EQUIPMENT,173360.28,29647.55,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,RENT COMMUNICATION UTILITIES,39.85,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 SERGEANT AT ARMS,MEMB DSTOFF SECUR ASSMNT OTH,OTHER SERVICES,51598.09,12480.1,,,,,116,2019Q3,false
,FISCAL YEAR 2019 EMD,OEPPO,OTHER SERVICES,118624.59,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NETWORKING,CONGRESSIONAL TRANSITION,OTHER SERVICES,409540.42,42801.26,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NETWORKING,CONGRESSIONAL TRANSITION,EQUIPMENT,153380.68,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 IT CUSTOMER SOLUTIONS,CONGRESSIONAL TRANSITION,RENT COMMUNICATION UTILITIES,388727,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 IT CUSTOMER SOLUTIONS,CONGRESSIONAL TRANSITION,OTHER SERVICES,75148.52,14450.4,,,,,116,2019Q3,false
,FISCAL YEAR 2019 IT CUSTOMER SOLUTIONS,CONGRESSIONAL TRANSITION,RENT COMMUNICATION UTILITIES,11566,4322,,,,,116,2019Q3,false
,FISCAL YEAR 2019 IT CUSTOMER SOLUTIONS,CONGRESSIONAL TRANSITION,OTHER SERVICES,163793.1,57000.9,,,,,116,2019Q3,false
,FISCAL YEAR 2019 IT CUSTOMER SOLUTIONS,CONGRESSIONAL TRANSITION,SUPPLIES AND MATERIALS,16059.54,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ENTERPRISE ARCHITECTURE,CONGRESSIONAL TRANSITION,OTHER SERVICES,486709,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 FURNISHINGS,CONGRESSIONAL TRANSITION,OTHER SERVICES,511768.97,35897.06,,,,,116,2019Q3,false
,FISCAL YEAR 2019 FURNISHINGS,CONGRESSIONAL TRANSITION,EQUIPMENT,217524.87,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ASSET MANAGEMENT,CONGRESSIONAL TRANSITION,TRAVEL,4,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ASSET MANAGEMENT,CONGRESSIONAL TRANSITION,OTHER SERVICES,11777.24,4770.71,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ASSET MANAGEMENT,CONGRESSIONAL TRANSITION,SUPPLIES AND MATERIALS,9016.09,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 ASSET MANAGEMENT,CONGRESSIONAL TRANSITION,EQUIPMENT,49218.36,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE DESIGN & MOVE SERVICES,CONGRESSIONAL TRANSITION,OTHER SERVICES,375135.11,21509.76,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE DESIGN & MOVE SERVICES,CONGRESSIONAL TRANSITION,SUPPLIES AND MATERIALS,36437.12,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 OFFICE DESIGN & MOVE SERVICES,CONGRESSIONAL TRANSITION,EQUIPMENT,36734.84,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LOGISTICS,CONGRESSIONAL TRANSITION,OTHER SERVICES,600000,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,TRAVEL,606211.05,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,RENT COMMUNICATION UTILITIES,42500.63,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,PRINTING AND REPRODUCTION,327.5,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,OTHER SERVICES,26650,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NEW MEMBER ORIENTATION,NEW MEMBERS ORIENTATION,SUPPLIES AND MATERIALS,94837.39,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 NETWORKING,FEDERAL OFFICE BUILDING 8,RENT COMMUNICATION UTILITIES,128,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LIFE CYCLE REPLACEMENT,COMMUNICATIONS SERVICES,OTHER SERVICES,1104.38,0,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LIFE CYCLE REPLACEMENT,COMMUNICATIONS EQUIPMENT,OTHER SERVICES,550844.13,78800,,,,,116,2019Q3,false
,FISCAL YEAR 2019 LIFE CYCLE REPLACEMENT,COMMUNICATIONS EQUIPMENT,EQUIPMENT,2721059.29,51149.48,,,,,116,2019Q3,false
,FISCAL YEAR 2019 HOUSE RECORDING STUDIO,LIFECYCLE (COMM ROOM),RENT COMMUNICATION UTILITIES,3405,3405,,,,,116,2019Q3,false
,FISCAL YEAR 2019 HOUSE RECORDING STUDIO,LIFECYCLE (COMM ROOM),OTHER SERVICES,1946.2,1946.2,,,,,116,2019Q3,false
,FISCAL YEAR 2019 HOUSE RECORDING STUDIO,LIFECYCLE (COMM ROOM),SUPPLIES AND MATERIALS,3918.3,2457.8,,,,,116,2019Q3,false
,FISCAL YEAR 2019 HOUSE RECORDING STUDIO,LIFECYCLE (COMM ROOM),EQUIPMENT,97675.21,96438.81,,,,,116,2019Q3,false
,FISCAL YEAR 2019 COMMITTEE RENOVATION PROJECT,COMMITTEE BROADCAST ROOM,OTHER SERVICES,309915.68,0,,,,,116,2019Q3,false
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9.95,4.4,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,239352.93,114319.41,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,2072.46,1305.03,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,8282.67,4596.92,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,387.5,0,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20823.07,20623.07,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,3045.97,664.41,,,,,116,2019Q3,true
,2019 HON. 9TH DISTRICT OF NORTH CAROLINA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11053.66,4897.65,,,,,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3424.73,1101.84,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,681481.62,217280.55,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,78263.28,21267.51,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,60405.22,22280.81,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3019.8,936.48,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21792.56,6645,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,8601.07,2958.38,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7798.56,3199.2,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000374,2019 HON. RALPH LEE ABRAHAM,INTERN ALLOWANCES,PERSONNEL COMPENSATION,3663.33,2113.33,Ralph Lee Abraham,R,LA,5,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1243.31,852.71,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,718053.91,244322.22,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,45675.46,11145.08,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,76859.07,31809.98,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2160.59,466.21,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,29591.3,7887.2,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13347.56,2040.49,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,657,219,Alma S. Adams,D,NC,12,116,2019Q3,true
A000370,2019 HON. ALMA S. ADAMS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12367.45,8234.11,Alma S. Adams,D,NC,12,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,5987.84,1710.85,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,741461.44,245034.07,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,64556.88,19281.54,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,RENT COMMUNICATION UTILITIES,78002.86,32901.98,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6272.27,1378.25,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,18102.1,7331.05,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13393.19,3249.71,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6879.72,1027.89,Robert B. Aderholt,R,AL,4,116,2019Q3,true
A000055,2019 HON. ROBERT B. ADERHOLT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,5496.75,3344.56,Robert B. Aderholt,R,AL,4,116,2019Q3,true
